USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
parasshivprasadkulkarni  4454   0.0  0.1 426950128   7760   ??  S     3:15PM   0:00.50 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
parasshivprasadkulkarni  4450   0.0  0.1 426896256   5040   ??  Ss    3:15PM   0:01.75 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
parasshivprasadkulkarni  4449   0.0  0.2 411181744  17120   ??  Ss    3:15PM   0:01.25 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTEncoderXPCService.xpc/Contents/MacOS/VTEncoderXPCService
parasshivprasadkulkarni  4448   0.0  0.0 410294480   2432   ??  Ss    3:15PM   0:00.12 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
parasshivprasadkulkarni  4447   0.0  0.2 410620976  15376   ??  Ss    3:15PM   0:04.60 /System/Library/PrivateFrameworks/MediaConversionService.framework/Versions/A/XPCServices/com.apple.photos.VideoConversionService.xpc/Contents/MacOS/com.apple.photos.VideoConversionService
root              4446   0.0  0.0 426916128   1936   ??  Ss    3:15PM   0:00.06 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
parasshivprasadkulkarni  4445   0.0  0.1 426916736   4880   ??  S     3:15PM   0:00.21 /usr/libexec/gamecontrolleragentd
_gamecontrollerd  4444   0.0  0.1 411049600   4672   ??  S     3:15PM   0:00.10 /System/Library/PrivateFrameworks/GameControllerFoundation.framework/Versions/A/XPCServices/GameControllerConfigService.xpc/Contents/MacOS/GameControllerConfigService
root              4443   0.0  0.0 426916704   2960   ??  Ss    3:15PM   0:00.06 /usr/libexec/betaenrollmentd
parasshivprasadkulkarni  4442   0.0  0.1 426950592   4800   ??  S     3:15PM   0:00.08 /usr/libexec/betaenrollmentagent
parasshivprasadkulkarni  4441   0.0  0.5 431503184  39840   ??  S     3:15PM   0:00.50 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
_gamecontrollerd  4440   0.0  0.1 426916864   6000   ??  Ss    3:15PM   0:00.26 /usr/libexec/gamecontrollerd
parasshivprasadkulkarni  4424   0.0  0.1 410919408   7424   ??  Ss    3:00PM   0:00.10 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
_fpsd             4423   0.0  0.0 426954752   2416   ??  Ss    3:00PM   0:02.88 /usr/libexec/fairplaydeviceidentityd
parasshivprasadkulkarni  4422   0.0  0.2 426959072  13376   ??  S     3:00PM   0:00.43 /usr/libexec/promotedcontentd
root              4421   0.0  0.0 426912096   1360   ??  Ss    3:00PM   0:00.02 endpointsecurityd
root              4420   0.0  0.1 426951584   5264   ??  Ss    3:00PM   0:00.07 /usr/libexec/amfid
parasshivprasadkulkarni  4417   0.0  0.1 427023856   8432   ??  S     3:00PM   0:00.50 /System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd
parasshivprasadkulkarni  4416   0.0  0.2 413919280  16064   ??  S     3:00PM   0:00.55 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/managedcorespotlightd
root              4415   0.0  0.0 426916144   2144   ??  Ss    3:00PM   0:00.06 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
